netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
08:3A:88:00:01:6C,Ring-00016c,44.91060638,-92.93283081,08:3A:88,1,none,2026-07-17T19:00:00.000Z,2026-07-17T14:00:00.000Z,,MN,US,Timberwood Road,55125
08:3A:88:00:01:8E,Ring-00018e,37.49566269,-120.85650635,08:3A:88,1,unknown,2024-09-10T19:00:00.000Z,2025-08-20T19:00:00.000Z,Turlock,CA,US,Flower Street,95381
08:3A:88:00:02:F9,Ring-0002f9,40.85037994,-111.94194794,08:3A:88,1,unknown,2025-09-04T16:00:00.000Z,2025-09-04T09:00:00.000Z,,UT,US,Birmingham Lane,84054
08:3A:88:00:03:1D,Ring-00031d,35.55280304,-97.54719543,08:3A:88,1,unknown,2022-12-10T19:00:00.000Z,2024-08-07T06:00:00.000Z,,OK,US,Guilford Lane,73120
08:3A:88:00:03:A2,Ring-0003a2,45.40643692,-122.58763885,08:3A:88,1,none,2023-07-24T17:00:00.000Z,2025-05-30T03:00:00.000Z,Portland,OR,US,Southeast Roots Road,97267
08:3A:88:00:07:92,Ring-000792,45.60329437,-122.45365143,08:3A:88,1,none,2023-08-30T15:00:00.000Z,2025-07-19T16:00:00.000Z,,WA,US,Northwest Pacific Rim Boulevard,98607
08:3A:88:00:08:76,Ring-000876,32.85164261,-97.13551331,08:3A:88,1,unknown,2024-01-31T19:00:00.000Z,2026-02-18T14:00:00.000Z,,TX,US,Ridgewood,76021
08:3A:88:00:09:A5,Ring-0009a5,29.39362144,-82.44879913,08:3A:88,1,none,2022-08-04T10:00:00.000Z,2026-06-06T14:00:00.000Z,,FL,US,Main Street,32696-6683
08:3A:88:00:09:DB,Ring-0009db,51.51858139,-0.18145809,08:3A:88,1,none,2023-02-02T15:00:00.000Z,2025-10-22T10:00:00.000Z,London,England,GB,Kingdom Street,W2 6PY
08:3A:88:00:0B:2D,Ring-000b2d,42.91780472,-85.56890869,08:3A:88,1,none,2026-06-10T14:00:00.000Z,2026-06-11T16:00:00.000Z,,MI,US,East Paris Avenue Southeast,49512
08:3A:88:00:0F:06,Ring-000f06,34.00614548,-117.66503143,08:3A:88,1,none,2026-07-17T22:00:00.000Z,2026-07-18T10:00:00.000Z,,CA,US,Carter Street,91710
08:3A:88:00:11:32,Ring-001132,38.86491013,-94.76979065,08:3A:88,1,unknown,2025-06-07T01:00:00.000Z,2026-07-16T05:00:00.000Z,Olathe,KS,US,West 146th Street,66062
08:3A:88:00:13:22,Ring-001322,35.98212433,-83.99158478,08:3A:88,1,unknown,2024-10-26T19:00:00.000Z,2024-10-26T12:00:00.000Z,Knoxville,TN,US,Bradshaw Road,37921
08:3A:88:00:15:57,Ring-001557,42.56424332,-83.01646423,08:3A:88,1,unknown,2025-08-17T18:00:00.000Z,2025-08-17T13:00:00.000Z,,MI,US,Tulane Drive,48312
08:3A:88:00:15:C6,Ring-0015c6,39.77674103,-105.04392242,08:3A:88,1,unknown,2026-02-22T01:00:00.000Z,2026-05-22T21:00:00.000Z,Denver,CO,US,Tennyson Street,80212
08:3A:88:00:16:32,Ring-001632,39.04032135,-94.82491302,08:3A:88,1,none,2023-11-04T16:00:00.000Z,2025-05-26T20:00:00.000Z,,KS,US,Woodland Drive,66218
08:3A:88:00:16:54,Ring-001654,34.06655502,-83.93781281,08:3A:88,1,none,2025-08-20T20:00:00.000Z,2025-08-22T15:00:00.000Z,,GA,US,I-85 Express Lanes Extension,30519
08:3A:88:00:1A:90,Ring-001a90,33.58890533,-112.01764679,08:3A:88,1,unknown,2025-05-28T20:00:00.000Z,2025-06-06T12:00:00.000Z,Phoenix,AZ,US,East Cholla Street,85028
08:3A:88:00:1A:B1,Ring-001ab1,53.82507324,-1.48459923,08:3A:88,1,unknown,2026-03-07T08:00:00.000Z,2026-03-23T14:00:00.000Z,Leeds,England,GB,Easterly Road,LS8 3AY
08:3A:88:00:20:3A,Ring-00203a,34.00099564,-117.58924866,08:3A:88,1,none,2024-09-01T19:00:00.000Z,2026-07-05T09:00:00.000Z,Ontario,CA,US,,
08:3A:88:00:22:4D,Ring-00224d,39.86384964,-105.06928253,08:3A:88,1,none,2023-12-10T01:00:00.000Z,2026-07-13T10:00:00.000Z,Westminster,CO,US,West 92nd Avenue,80030-4344
08:3A:88:00:23:4A,Ring-00234a,39.64978027,-84.11896515,08:3A:88,1,unknown,2023-03-26T16:00:00.000Z,2025-09-17T11:00:00.000Z,Centerville,OH,US,Clyo Road,45458
08:3A:88:00:25:36,Ring-002536,37.37496567,-121.99402618,08:3A:88,1,unknown,2025-11-08T19:00:00.000Z,2025-11-08T19:00:00.000Z,Santa Clara,CA,US,La Rambla Avenue,94088-3453
08:3A:88:00:27:2A,Ring-00272a,29.6711216,-95.49221802,08:3A:88,1,none,2026-07-09T22:00:00.000Z,2026-07-09T20:00:00.000Z,Houston,TX,US,Hillcroft Avenue,77085
08:3A:88:00:27:9B,Ring-00279b,33.99926758,-84.14962769,08:3A:88,1,none,2026-06-20T14:00:00.000Z,2026-06-20T11:00:00.000Z,,GA,US,,30096
08:3A:88:00:2B:B4,Ring-002bb4,53.29233932,-2.11354494,08:3A:88,1,none,2025-11-19T15:00:00.000Z,2026-05-09T07:00:00.000Z,,England,GB,Henshall Road,SK10 5HS
08:3A:88:00:2D:FA,Ring Setup fa,33.61785507,-117.93682098,08:3A:88,1,unknown,2024-03-24T21:00:00.000Z,2026-06-06T21:00:00.000Z,,CA,US,Seashore Drive,92663
08:3A:88:00:2F:10,Ring-002f10,29.08644676,-82.06155396,08:3A:88,1,none,2024-07-06T22:00:00.000Z,2024-07-20T10:00:00.000Z,,FL,US,Southeast 92nd Place Road,34420:34480
08:3A:88:00:31:69,Ring-003169,38.21515656,-85.23445892,08:3A:88,1,unknown,2024-06-11T20:00:00.000Z,2026-06-29T18:00:00.000Z,,KY,US,Smithfield Road,40065
08:3A:88:00:32:C2,Ring-0032c2,32.39975357,-111.01091766,08:3A:88,1,unknown,2026-07-14T14:00:00.000Z,2026-07-15T08:00:00.000Z,,AZ,US,North Sand Canyon Place,85737
08:3A:88:00:33:7C,Ring-00337c,39.44348145,-119.72716522,08:3A:88,1,unknown,2023-09-11T17:00:00.000Z,2026-05-22T15:00:00.000Z,Reno,NV,US,Veterans Parkway,89521
08:3A:88:00:35:BF,Ring-0035bf,41.56519699,-88.19315338,08:3A:88,1,unknown,2025-08-27T21:00:00.000Z,2026-04-27T02:00:00.000Z,Joliet,IL,US,Caton Farm Road,60404
08:3A:88:00:35:EE,Ring-0035ee,36.15690231,-115.3372345,08:3A:88,1,unknown,2023-02-01T12:00:00.000Z,2025-01-13T15:00:00.000Z,,NV,US,Bruce Woodbury Beltway,89135
08:3A:88:00:38:11,Ring-003811,40.53684616,-111.95358276,08:3A:88,1,unknown,2022-08-31T21:00:00.000Z,2024-11-02T21:00:00.000Z,,UT,US,11800 South,84095
08:3A:88:00:39:DE,Ring-0039de,41.63017654,-93.54246521,08:3A:88,1,unknown,2025-06-05T03:00:00.000Z,2025-08-21T19:00:00.000Z,Des Moines,IA,US,Hubbell Avenue,50317
08:3A:88:00:3A:DC,,40.00008774,-86.01056671,08:3A:88,0,unknown,2024-09-17T02:00:00.000Z,2025-07-16T18:00:00.000Z,,IN,US,Harrison Parkway,46038
08:3A:88:00:3D:9A,Ring-003d9a,42.13249207,-83.25674438,08:3A:88,1,none,2026-04-30T17:00:00.000Z,2026-05-12T09:00:00.000Z,,MI,US,Westwood Drive,48134
08:3A:88:00:3F:E8,Ring-003fe8,39.84812164,-75.7256012,08:3A:88,1,unknown,2023-12-16T18:00:00.000Z,2026-04-10T10:00:00.000Z,Kennett Township,PA,US,Penn's Manor Drive,19348
08:3A:88:00:40:D6,Ring-0040d6,42.77881622,-71.23017883,08:3A:88,1,none,2026-05-08T19:00:00.000Z,2026-05-08T16:00:00.000Z,,NH,US,Central Street,03079
08:3A:88:00:41:44,,39.94614792,-86.03273773,08:3A:88,0,unknown,2024-06-17T09:00:00.000Z,2025-07-16T18:00:00.000Z,,IN,US,Hague Road,46038
08:3A:88:00:44:27,Ring Setup 27,37.11672974,-79.95656586,08:3A:88,1,unknown,2024-12-02T21:00:00.000Z,2026-06-06T11:00:00.000Z,,VA,US,Virgil H Goode Highway,24065
