netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
24:B2:B9:01:AC:65,ClickShare-Raum-Lenbach,48.54930115,11.27482605,24:B2:B9,44,wpa2,2026-02-06T12:00:00.000Z,2026-08-03T11:00:00.000Z,,Bayern,DE,Berliner Straße,86529
24:B2:B9:01:AC:B3,ClickShare-Conf B TV 2,40.74800873,-73.41422272,24:B2:B9,36,wpa2,2026-08-22T20:00:00.000Z,2026-08-22T16:00:00.000Z,,NY,US,New Highway,11735
24:B2:B9:01:AC:B7,ClickShare-DPD Chief Conf,32.76804352,-96.79570007,24:B2:B9,36,wpa2,2026-04-13T20:00:00.000Z,2026-08-10T03:00:00.000Z,Dallas,TX,US,Botham Jean Boulevard,75215
24:B2:B9:01:AD:1B,ClickShare-Z213072,56.87388992,14.80735779,24:B2:B9,36,wpa2,2001-01-01T00:00:00.000Z,2026-06-15T01:00:00.000Z,Växjö,Kronobergs län,SE,Södra Esplanaden,352 35
24:B2:B9:01:AD:2D,,49.63341522,6.16914272,24:B2:B9,36,wpa2,2026-07-11T14:00:00.000Z,2026-07-11T09:00:00.000Z,Luxembourg,Canton Luxembourg,LU,Rue Alphonse Weicker,2721
24:B2:B9:01:AD:C9,,49.63367462,6.16874027,24:B2:B9,36,wpa2,2026-07-11T14:00:00.000Z,2026-07-11T09:00:00.000Z,Luxembourg,Canton Luxembourg,LU,Rue Alphonse Weicker,2721
24:B2:B9:01:AE:2D,CS-108Hom,50.32821274,8.74698734,24:B2:B9,36,wpa2,2026-06-20T19:00:00.000Z,2026-06-20T15:00:00.000Z,,Hessen,DE,Homburger Straße,61169
24:B2:B9:01:AE:85,ClickShare-1875592627,36.84693527,-76.29305267,24:B2:B9,36,wpa2,2026-06-16T19:00:00.000Z,2026-06-16T14:00:00.000Z,Norfolk,VA,US,Boush Street,23510
24:B2:B9:01:AE:99,,39.74402237,-104.98609924,24:B2:B9,165,wpa2,2026-06-19T20:00:00.000Z,2026-08-24T21:00:00.000Z,Denver,CO,US,Lincoln Street,80274
24:B2:B9:01:AE:A1,,41.17773819,-111.9491806,24:B2:B9,36,wpa2,2026-05-26T14:00:00.000Z,2026-08-26T17:00:00.000Z,Ogden,UT,US,Harrison Boulevard,84403
24:B2:B9:01:AE:B3,ClickShare-1875591753,38.57039642,-121.47033691,24:B2:B9,1,wpa2,2026-03-28T02:00:00.000Z,2026-03-27T23:00:00.000Z,Sacramento,CA,US,Capitol Avenue,95816
24:B2:B9:01:AF:47,ClickShare-1875592376,35.76617432,-84.01133728,24:B2:B9,36,wpa2,2026-08-12T11:00:00.000Z,2026-08-12T05:00:00.000Z,,TN,US,Middlesettlements Road,37801
24:B2:B9:01:AF:95,ClickShare-1875592263,32.83905411,-97.14181519,24:B2:B9,36,wpa2,2026-07-17T22:00:00.000Z,2026-07-17T18:00:00.000Z,,TX,US,Forest Ridge Drive,76022
24:B2:B9:01:AF:D5,BoardroomBarco,50.79328537,-1.10603392,24:B2:B9,36,wpa2,2026-03-18T12:00:00.000Z,2026-03-18T06:00:00.000Z,Portsmouth,England,GB,Gunwharf Road,PO1 2LA
24:B2:B9:01:AF:D7,ClickShare-Großer-Raum,51.3393898,12.37644482,24:B2:B9,36,wpa2,2026-08-15T13:00:00.000Z,2026-08-19T14:00:00.000Z,Leipzig,Sachsen,DE,Neumarkt,04109
24:B2:B9:01:AF:E5,Riyadh Park Meeting Room,24.69080925,46.66883469,24:B2:B9,36,wpa2,2026-05-22T19:00:00.000Z,2026-05-23T16:00:00.000Z,,منطقة الرياض,SA,Al Sahqour,12334-2723
24:B2:B9:01:AF:FF,ClickShare-1875592608,32.79352188,-96.80776215,24:B2:B9,36,wpa2,2026-03-24T00:00:00.000Z,2026-03-24T19:00:00.000Z,Dallas,TX,US,North Harwood Street,75201
24:B2:B9:01:B0:01,CS-A504,30.20779991,-97.71621704,24:B2:B9,36,wep,2026-03-13T17:00:00.000Z,2026-03-13T14:00:00.000Z,Austin,TX,US,Montopolis Drive,78741
24:B2:B9:01:B0:1D,Huddle Room 105,29.65529823,-95.3872757,24:B2:B9,36,wpa2,2026-03-13T19:00:00.000Z,2026-08-25T17:00:00.000Z,Houston,TX,US,TX 288 Toll,77047
24:B2:B9:01:B0:23,ClickShare-1875592492,30.27430344,-97.74435425,24:B2:B9,36,wpa2,2026-06-23T16:00:00.000Z,2026-08-23T00:00:00.000Z,Austin,TX,US,Guadalupe Street,78701
24:B2:B9:01:B0:5F,ClickShare-1875520633,51.35539627,3.30323792,24:B2:B9,36,wpa2,2026-03-11T15:00:00.000Z,2026-03-11T10:00:00.000Z,,West-Vlaanderen,BE,Kustlaan,8300
24:B2:B9:01:B0:89,ClickShare-Crisisroom ICC Main,50.83244705,4.3268466,24:B2:B9,36,wpa2,2026-03-28T07:00:00.000Z,2026-06-14T05:00:00.000Z,,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest,BE,Rue des Deux Gares - Tweestationsstraat,1070
24:B2:B9:01:B1:55,ClickShare-1875591212,43.0273819,-87.91652679,24:B2:B9,36,wpa2,2026-04-12T01:00:00.000Z,2026-08-02T17:00:00.000Z,Milwaukee,WI,US,West Florida Street,53204
24:B2:B9:01:B2:0F,ClickShare-1875591943,35.04358292,-85.30857086,24:B2:B9,36,wpa2,2026-08-01T23:00:00.000Z,2026-08-01T17:00:00.000Z,Chattanooga,TN,US,Market Street,37402
24:B2:B9:01:B2:27,ClickShare-1875591735,47.61756134,-122.19676208,24:B2:B9,36,wpa2,2026-06-01T15:00:00.000Z,2026-06-14T22:00:00.000Z,Bellevue,WA,US,Northeast 8th Street,98004-4452
24:B2:B9:01:B2:4B,Conference Room 2 Clickshare,32.92572021,-80.07004547,24:B2:B9,36,wpa2,2026-05-24T16:00:00.000Z,2026-05-24T11:00:00.000Z,North Charleston,SC,US,Industry Drive,29418
24:B2:B9:01:B2:AB,ClickShare-Salinas,36.67605209,-121.65661621,24:B2:B9,36,wpa2,2026-02-09T18:00:00.000Z,2026-06-30T01:00:00.000Z,Salinas,CA,US,Salinas Street,93901
24:B2:B9:01:B2:BD,ClickShare-1875591723,39.88395691,-86.26631927,24:B2:B9,36,wpa2,2026-04-10T01:00:00.000Z,2026-04-09T19:00:00.000Z,Indianapolis,IN,US,Woodland Drive,46278
24:B2:B9:01:B2:C5,Mirai Otemachi 3F,35.68464279,139.76620483,24:B2:B9,36,wpa2,2026-06-01T09:00:00.000Z,2026-08-28T10:00:00.000Z,千代田区,丸の内一丁目,JP,永代通り,100-0005
24:B2:B9:01:B3:7D,ClickShare-1875592320,37.55669403,-77.46025085,24:B2:B9,48,wpa2,2025-12-02T14:00:00.000Z,2026-06-08T15:00:00.000Z,Richmond,VA,US,West Broad Street,23220
24:B2:B9:01:B3:8F,ClickShare-1875591751,39.74526978,-104.99031067,24:B2:B9,36,wpa2,2026-06-09T03:00:00.000Z,2026-06-08T21:00:00.000Z,Denver,CO,US,Welton Street,80293
24:B2:B9:01:B3:C3,ClickShare-1875591793,37.84769058,-122.25209045,24:B2:B9,36,wpa2,2026-08-03T23:00:00.000Z,2026-08-03T19:00:00.000Z,Oakland,CA,US,College Avenue,94168
24:B2:B9:01:B3:CB,,28.54570389,-81.37484741,24:B2:B9,36,wpa2,2026-07-24T23:00:00.000Z,2026-08-02T12:00:00.000Z,Orlando,FL,US,Robinson Street,32801
24:B2:B9:01:B3:D1,ClickShare-1875591802,36.16146469,-115.14681244,24:B2:B9,36,wpa2,2026-08-13T20:00:00.000Z,2026-08-13T15:00:00.000Z,Las Vegas,NV,US,Gass Avenue,89104-1307
24:B2:B9:01:B4:05,ClickShare-1875592446,39.86931229,-104.97783661,24:B2:B9,36,wpa2,2026-01-17T15:00:00.000Z,2026-08-09T20:00:00.000Z,Thornton,CO,US,Washington Street,80229
24:B2:B9:01:B4:09,ClickShare-Dual Conference Room,39.42942429,-119.75276184,24:B2:B9,36,wpa2,2026-07-01T00:00:00.000Z,2026-06-30T23:00:00.000Z,Reno,NV,US,Double R Boulevard,89521
24:B2:B9:01:B4:0D,ClickShare-1875592443,38.90472412,-77.04262543,24:B2:B9,157,wpa2,2026-08-21T22:00:00.000Z,2026-08-21T19:00:00.000Z,Washington,DC,US,19th Street Northwest,20036
24:B2:B9:01:B4:71,ClickShare-TrainingRm,41.51420975,-81.66159058,24:B2:B9,36,wpa2,2026-06-09T17:00:00.000Z,2026-06-11T10:00:00.000Z,Cleveland,OH,US,Superior Avenue,44112
24:B2:B9:01:B4:95,ClickShare-1875520387,35.72919083,139.71704102,24:B2:B9,36,wpa2,2026-04-12T08:00:00.000Z,2026-08-19T16:00:00.000Z,豊島区,東池袋一丁目,JP,音羽池袋線,170-0013
24:B2:B9:01:B4:97,,38.64503098,-90.26152039,24:B2:B9,36,wpa2,2026-08-25T11:00:00.000Z,2026-08-28T13:00:00.000Z,Saint Louis,MO,US,North Euclid Avenue,63108
24:B2:B9:01:B4:9D,ClickShare-1875592978,34.68199921,-118.17459869,24:B2:B9,36,wpa2,2026-08-15T18:00:00.000Z,2026-08-15T13:00:00.000Z,Lancaster,CA,US,25th Street West,93536
24:B2:B9:01:B4:B5,ClickShare-1875592740,47.6103363,-122.336586,24:B2:B9,36,wpa2,2026-08-16T19:00:00.000Z,2026-08-16T12:00:00.000Z,Seattle,WA,US,Pike Street,98101
24:B2:B9:01:B4:CF,ClickShare-1875592726,41.89558411,-87.62242889,24:B2:B9,36,wpa2,2026-08-11T20:00:00.000Z,2026-08-16T13:00:00.000Z,Chicago,IL,US,East Huron Street,60611
24:B2:B9:01:B4:E1,ClickShare-Meeting Room 2,38.54568863,-90.35173035,24:B2:B9,36,wpa2,2026-03-17T09:00:00.000Z,2026-07-11T20:00:00.000Z,,MO,US,Gravois Road,63123-3935
24:B2:B9:01:B4:F5,KP-clkshr-3,34.72867584,-86.58786774,24:B2:B9,36,wpa2,2026-08-17T23:00:00.000Z,2026-08-17T18:00:00.000Z,Huntsville,AL,US,Big Spring Park Greenway,35804
24:B2:B9:01:B4:F9,ClickShare-Meeting Room 1,38.54561996,-90.35186005,24:B2:B9,36,wpa2,2026-03-17T09:00:00.000Z,2026-06-19T13:00:00.000Z,,MO,US,Musick Road,63123-3935
24:B2:B9:01:B6:39,ClickShare-C0.21,47.69718933,8.63517666,24:B2:B9,36,wpa2,2026-04-19T14:00:00.000Z,2026-05-17T07:00:00.000Z,,Schaffhausen,CH,Safrangasse,8200
24:B2:B9:01:B6:85,ClickShare-1875520240,49.01558685,8.37466526,24:B2:B9,36,wpa2,2026-08-12T20:00:00.000Z,2026-08-12T14:00:00.000Z,Karlsruhe,Baden-Württemberg,DE,Moltkestraße,76133
24:B2:B9:01:B6:A1,ClickShare-1875520200,59.29438019,18.07864189,24:B2:B9,36,wpa2,2026-01-05T12:00:00.000Z,2026-05-26T06:00:00.000Z,,Stockholms län,SE,Globenbron,12144
24:B2:B9:01:B6:D1,ClickShare-1875520177,50.27776718,19.13413429,24:B2:B9,36,wpa2,2026-03-27T08:00:00.000Z,2026-03-27T08:00:00.000Z,Sosnowiec,województwo śląskie,PL,Ignacego Mościckiego,41-210
24:B2:B9:01:B7:07,ClickShare-Sala Presidenza,45.47574615,9.212286,24:B2:B9,36,wpa2,2026-04-22T08:00:00.000Z,2026-05-22T01:00:00.000Z,Milano,Lombardia,IT,Via Antonio Stoppani,20129
24:B2:B9:01:B7:19,ClickShare-1875591318,44.76374817,-85.62597656,24:B2:B9,36,wpa2,2026-08-17T14:00:00.000Z,2026-08-29T20:00:00.000Z,Traverse City,MI,US,Pine Street,49684
24:B2:B9:01:B7:4B,ClickShare-tokyo_shiten,35.66321564,139.75883484,24:B2:B9,36,wpa2,2026-03-29T06:00:00.000Z,2026-08-11T02:00:00.000Z,港区,銀座八丁目,JP,環二通り,104-0061
24:B2:B9:01:B7:95,,39.96281052,-75.25140381,24:B2:B9,36,wpa2,2026-05-13T11:00:00.000Z,2026-08-10T15:00:00.000Z,,PA,US,Market Street,19151
24:B2:B9:01:B7:A1,ClickShare-1875592355,39.85864258,-104.67356873,24:B2:B9,36,wpa2,2026-02-03T23:00:00.000Z,2026-07-31T20:00:00.000Z,Denver,CO,US,North Oak Hill Street,
24:B2:B9:01:B7:C1,Atlanta Peachtree,33.7872467,-84.38354492,24:B2:B9,36,wpa2,2026-06-18T14:00:00.000Z,2026-06-18T14:00:00.000Z,Atlanta,GA,US,Peachtree Street Northeast,30309
24:B2:B9:01:B7:FB,,42.70481491,-71.14363098,24:B2:B9,36,wpa2,2026-06-19T14:00:00.000Z,2026-06-19T08:00:00.000Z,Lawrence,MA,US,Merrimack Street,01842
24:B2:B9:01:B8:15,ClickShare-DOB Conference Room,39.04724503,-95.68080902,24:B2:B9,36,wpa2,2025-12-03T20:00:00.000Z,2026-07-15T04:00:00.000Z,Topeka,KS,US,Southwest 10th Avenue,66612
24:B2:B9:01:B8:1B,,39.13012695,-76.7966156,24:B2:B9,36,wpa2,2025-12-12T19:00:00.000Z,2025-12-18T06:00:00.000Z,,MD,US,Guilford Road,20701
24:B2:B9:01:B8:2B,ClickShare-1875591683,37.90462875,-122.06684875,24:B2:B9,36,wpa2,2026-07-23T22:00:00.000Z,2026-08-14T18:00:00.000Z,,CA,US,Ygnacio Valley Road,94596
24:B2:B9:01:B8:83,ClickShare-LTR,37.27144241,-93.10610962,24:B2:B9,36,wpa2,2026-07-27T20:00:00.000Z,2026-07-27T14:00:00.000Z,,MO,US,I 44,65757
24:B2:B9:01:B8:A7,Barco Clikshare,35.99269485,-78.90531158,24:B2:B9,36,wpa2,2026-06-07T20:00:00.000Z,2026-06-07T18:00:00.000Z,Durham,NC,US,Blackwell Street,27701
24:B2:B9:01:B8:AD,ClickShare-1875592401,41.88471603,-87.62953186,24:B2:B9,36,wpa2,2025-12-19T19:00:00.000Z,2026-06-07T23:00:00.000Z,Chicago,IL,US,North Dearborn Street,60601
24:B2:B9:01:B8:D7,ClickShare-1875520665,-6.24726391,106.79792786,24:B2:B9,36,wpa2,2026-06-27T10:00:00.000Z,2026-06-27T21:00:00.000Z,Daerah Khusus Ibukota Jakarta,Melawai,ID,Jalan Panglima Polim Raya,12160
24:B2:B9:01:B8:E5,ClickShare-1875592389,35.76555252,-84.01017761,24:B2:B9,36,wpa2,2026-08-03T05:00:00.000Z,2026-08-10T16:00:00.000Z,,TN,US,Middlesettlements Road,37801
24:B2:B9:01:B8:ED,ClickShare-1875592390,35.76622009,-84.0114212,24:B2:B9,36,wpa2,2026-08-12T11:00:00.000Z,2026-08-12T05:00:00.000Z,,TN,US,Middlesettlements Road,37801
24:B2:B9:01:B9:39,ClickShare-1875591195,40.65626526,-73.67990875,24:B2:B9,36,wpa2,2026-06-11T14:00:00.000Z,2026-06-11T08:00:00.000Z,,NY,US,Sunrise Highway,11563
