netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
3C:91:80:00:61:82,,42.33132172,-71.13497162,3C:91:80,1,wpa2,2026-06-09T22:00:00.000Z,2026-06-09T15:00:00.000Z,,MA,US,Clinton Road,02447
3C:91:80:00:91:02,,38.95082855,-77.06733704,3C:91:80,2,unknown,2025-01-12T18:00:00.000Z,2025-01-12T15:00:00.000Z,Washington,DC,US,Connecticut Avenue Northwest,20015
3C:91:80:02:B8:EF,,51.13495636,-114.10800934,3C:91:80,0,unknown,2025-12-01T22:00:00.000Z,2025-12-01T17:00:00.000Z,Calgary,Alberta,CA,MacEwan Drive NW,T3K 2P2
3C:91:80:04:E5:5C,,41.63265228,-93.78777313,3C:91:80,9,unknown,2026-05-01T08:00:00.000Z,2026-05-01T21:00:00.000Z,Urbandale,IA,US,124th Street,50323
3C:91:80:05:59:5F,,42.60443878,-88.70511627,3C:91:80,0,unknown,2025-01-19T23:00:00.000Z,2025-01-19T17:00:00.000Z,,WI,US,North 3rd Street,53114
3C:91:80:05:6B:3D,,39.32559204,-76.55886841,3C:91:80,40,unknown,2026-06-20T08:00:00.000Z,2026-06-20T20:00:00.000Z,Baltimore,MD,US,Bowleys Lane,21206
3C:91:80:07:B5:E2,DIRECT-VE3C918007B5E2,34.9799614,-101.93069458,3C:91:80,11,wpa2,2026-05-26T23:00:00.000Z,2026-05-26T18:00:00.000Z,,TX,US,4th Avenue,79016
3C:91:80:07:B8:CB,3C918007B8CB,30.44861794,-84.28316498,3C:91:80,11,unknown,2023-06-20T11:00:00.000Z,2026-01-31T16:00:00.000Z,Tallahassee,FL,US,North Duval Street,32303
3C:91:80:07:B8:D7,DIRECT-7q3C918007B8D7,38.23733902,-77.5067749,3C:91:80,11,wpa2,2026-07-05T16:00:00.000Z,2026-07-05T09:00:00.000Z,Fredericksburg,VA,US,Southpoint Parkway,22407
3C:91:80:07:B9:AE,DIRECT-YT3C918007B9AE,36.83817673,-119.78135681,3C:91:80,6,wpa2,2024-09-11T15:00:00.000Z,2026-01-22T10:00:00.000Z,,CA,US,North Fresno Street,93720-2920
3C:91:80:07:B9:F8,DIRECT-yF3C918007B9F8,41.88976288,-87.70155334,3C:91:80,6,wpa2,2021-07-15T11:00:00.000Z,2024-12-14T18:00:00.000Z,Chicago,IL,US,North Sacramento Boulevard,60612
3C:91:80:07:BA:97,3C918007BA97,49.88067245,-119.46272278,3C:91:80,13,unknown,2026-05-05T22:00:00.000Z,2026-05-05T16:00:00.000Z,Kelowna,British Columbia,CA,Dickson Avenue,V1Y 4N6
3C:91:80:07:BA:A6,3C918007BAA6,42.39361954,-71.24544525,3C:91:80,13,none,2024-08-22T12:00:00.000Z,2024-08-27T15:00:00.000Z,Waltham,MA,US,Totten Pond Road,02451
3C:91:80:07:BB:67,3C918007BB67,39.65240097,-78.76391602,3C:91:80,13,none,2021-11-05T20:00:00.000Z,2026-03-11T18:00:00.000Z,Cumberland,MD,US,North Mechanic Street,21502
3C:91:80:07:BB:AB,3C918007BBAB,39.80666733,-85.77679443,3C:91:80,13,none,2025-03-28T17:00:00.000Z,2025-03-28T11:00:00.000Z,,IN,US,West McClarnon Drive,46140
3C:91:80:08:63:F4,,39.9953537,-86.01740265,3C:91:80,8,unknown,2024-06-17T21:00:00.000Z,2024-09-16T13:00:00.000Z,,IN,US,Nolan Drive,46038
3C:91:80:08:65:09,Flock,46.38035202,-116.98407745,3C:91:80,1,wpa2,2026-07-05T01:00:00.000Z,2026-07-05T12:00:00.000Z,Lewiston,ID,US,Bryden Avenue,83501
