netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
58:8E:81:25:56:6F,MLG07037,43.0278244,-85.79656982,58:8E:81,11,none,2022-02-12T15:00:00.000Z,2026-07-29T21:00:00.000Z,,MI,US,I 96,49534-1181
58:8E:81:25:56:77,MLG01818,28.29228783,-80.6989975,58:8E:81,6,none,2024-10-12T22:00:00.000Z,2024-10-13T14:00:00.000Z,,FL,US,US 1,32955
58:8E:81:25:56:89,MLG01898,41.86146545,-88.43377686,58:8E:81,1,none,2024-12-03T01:00:00.000Z,2026-05-05T16:00:00.000Z,,IL,US,Hughes Road,60119
58:8E:81:25:56:91,MLG02713,40.56600189,-74.13622284,58:8E:81,6,unknown,2024-07-27T19:00:00.000Z,2025-10-28T22:00:00.000Z,City of New York,NY,US,Clarke Avenue,10306
58:8E:81:25:56:9D,MLG00709,20.97018242,-89.63256073,58:8E:81,1,unknown,2024-12-13T03:00:00.000Z,2024-12-12T21:00:00.000Z,Mérida,Yucatán,MX,Calle 59,97000
58:8E:81:25:56:C7,MLG64010,27.32560539,-82.58207703,58:8E:81,1,unknown,2025-03-10T18:00:00.000Z,2025-03-10T12:00:00.000Z,Sarasota,FL,US,John Ringling Parkway,34236-4088
58:8E:81:25:57:2F,MLG00556,30.52279854,-86.50012207,58:8E:81,1,none,2023-10-04T20:00:00.000Z,2026-07-31T05:00:00.000Z,,FL,US,West John Sims Parkway,32578
58:8E:81:25:57:89,MLG02456,30.20779037,-97.72901154,58:8E:81,1,unknown,2023-10-29T01:00:00.000Z,2025-02-27T16:00:00.000Z,Austin,TX,US,Caven Road,78744
58:8E:81:25:57:BD,MLG00892,41.70383072,-81.2904892,58:8E:81,6,none,2026-07-29T18:00:00.000Z,2026-07-30T04:00:00.000Z,,OH,US,Pinewood Lane,44045
58:8E:81:25:58:31,MLG06718,29.62872505,-95.73175812,58:8E:81,3,none,2026-05-17T20:00:00.000Z,2026-05-17T15:00:00.000Z,,TX,US,Leisure Lane,77469
58:8E:81:25:58:49,MLG02197,42.6235733,-70.73342896,58:8E:81,1,unknown,2024-07-29T19:00:00.000Z,2025-11-24T07:00:00.000Z,Gloucester,MA,US,Essex Avenue,01930-2350
58:8E:81:25:58:5F,MLG02486,27.89717865,-82.67269135,58:8E:81,6,unknown,2025-10-22T23:00:00.000Z,2025-10-23T13:00:00.000Z,,FL,US,La Concha Drive,33729
58:8E:81:25:58:A7,MLG05774,41.29611588,-72.78445435,58:8E:81,11,unknown,2025-08-16T23:00:00.000Z,2026-08-12T13:00:00.000Z,,CT,US,East Main Street,06405
58:8E:81:25:58:DB,MLG01920,30.38546562,-86.411026,58:8E:81,2,unknown,2025-06-23T20:00:00.000Z,2025-06-23T14:00:00.000Z,,FL,US,Sunsail Circle,32541
58:8E:81:25:58:ED,MLG01499,44.87999344,-93.62010193,58:8E:81,6,unknown,2026-08-09T23:00:00.000Z,2026-08-09T17:00:00.000Z,,MN,US,Minnewashta Parkway,55331
58:8E:81:25:59:17,MLG06949,31.04380798,-98.16338348,58:8E:81,6,none,2024-06-14T17:00:00.000Z,2025-04-14T12:00:00.000Z,,TX,US,South US Highway 183,76550
58:8E:81:25:59:89,MLG06005,36.83592987,-76.13990784,58:8E:81,6,none,2026-04-11T05:00:00.000Z,2026-04-11T01:00:00.000Z,Virginia Beach,VA,US,Euclid Road,23462
58:8E:81:25:59:91,MLG03182,39.76531601,-74.89175415,58:8E:81,1,none,2026-06-08T12:00:00.000Z,2026-08-26T21:00:00.000Z,,NJ,US,White Horse Pike,08004
58:8E:81:25:59:DD,MLG02257,46.46769333,-94.35946655,58:8E:81,11,unknown,2025-05-24T14:00:00.000Z,2025-05-24T16:00:00.000Z,,MN,US,Interlachen Road,56468
58:8E:81:25:5A:51,MLG02549,40.75709534,-89.58751678,58:8E:81,6,unknown,2025-06-06T19:00:00.000Z,2025-07-01T15:00:00.000Z,Peoria,IL,US,North Prospect Road,61614
58:8E:81:25:5A:63,MLG06154,27.77730751,-82.68462372,58:8E:81,1,none,2023-01-15T10:00:00.000Z,2026-08-20T15:00:00.000Z,Saint Petersburg,FL,US,5th Avenue North,33710
58:8E:81:25:5A:73,MLG06959,32.75585938,-99.89663696,58:8E:81,2,unknown,2025-10-16T16:00:00.000Z,2025-10-16T13:00:00.000Z,,TX,US,East Court Plaza,79501
