netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
5C:93:A2:00:03:CD,PS4-9B09E8426A34,42.275177,-71.0934906,5C:93:A2,6,wpa2,2026-08-02T17:00:00.000Z,2026-08-02T11:00:00.000Z,Boston,MA,US,Blue Hill Avenue,02126
5C:93:A2:00:0C:4D,PS4-3185561CACE3,41.10003281,-85.08853912,5C:93:A2,6,wpa2,2025-06-16T07:00:00.000Z,2025-07-01T00:00:00.000Z,Fort Wayne,IN,US,North Coliseum Boulevard,46803
5C:93:A2:00:20:FD,PS4-B0AC08ECFAF3,51.93092346,4.47363901,5C:93:A2,7,wpa2,2025-06-19T15:00:00.000Z,2025-06-19T08:00:00.000Z,Rotterdam,Zuid-Holland,NL,Vijverhofstraat,3032SJ
5C:93:A2:00:35:C5,PS4-BF0F7139D17F,41.97106934,-88.19061279,5C:93:A2,6,wpa2,2025-06-14T17:00:00.000Z,2025-10-28T16:00:00.000Z,,IL,US,Juniper Lane,60103
5C:93:A2:00:39:D3,PS4-AD7E7A63A4FE,53.58921051,10.05337334,5C:93:A2,6,wpa2,2025-12-19T17:00:00.000Z,2025-12-19T10:00:00.000Z,Hamburg,Barmbek-Nord,DE,Bramfelder Straße,22305
5C:93:A2:00:40:DB,PS4-00FE2C550F4C,49.21522522,-123.11680603,5C:93:A2,6,wpa2,2025-06-12T23:00:00.000Z,2025-06-12T16:00:00.000Z,Vancouver,British Columbia,CA,Cambie Street,V5X
5C:93:A2:00:41:31,PS4-0539F9382F7A,35.64686203,139.74276733,5C:93:A2,5,wpa2,2018-01-13T21:00:00.000Z,2024-10-30T04:00:00.000Z,港区,三田四丁目,JP,聖坂,108-0014
5C:93:A2:00:4B:3F,PS4-6680C558A1E0,44.68179703,-63.50083542,5C:93:A2,11,wpa2,2025-02-20T14:00:00.000Z,2025-03-04T08:00:00.000Z,Dartmouth,Nova Scotia,CA,Valkyrie Crescent,B2W 5B7
5C:93:A2:00:52:E7,PS4-B319CEFC3DA4,42.26995468,-71.82328033,5C:93:A2,11,wpa2,2018-11-04T21:00:00.000Z,2025-03-09T07:00:00.000Z,Worcester,MA,US,Highland Street,01602
5C:93:A2:00:60:3D,PS4-5174A0F1BBFC,45.55167007,-73.62713623,5C:93:A2,6,wpa2,2026-06-05T19:00:00.000Z,2026-06-07T14:00:00.000Z,Montréal,Québec,CA,Boulevard Crémazie Est,H2M 2P2
