netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
70:08:94:00:29:D5,7008940029D5,52.227108,21.02470207,70:08:94,13,unknown,2026-03-24T11:00:00.000Z,2026-08-16T05:00:00.000Z,Warszawa,województwo mazowieckie,PL,Wiejska,00-490
70:08:94:00:29:F0,DIRECT-E77008940029F0,47.54891968,7.60235405,70:08:94,11,wpa2,2026-02-28T11:00:00.000Z,2026-03-05T12:00:00.000Z,Basel,Basel-Stadt,CH,Engelgasse,4052
70:08:94:00:2A:8A,DIRECT-IRKONICA-D2-KM5,52.09375763,8.67617702,70:08:94,1,wpa2,2026-09-01T20:00:00.000Z,2026-09-01T22:00:00.000Z,,Nordrhein-Westfalen,DE,Planckstraße,32052
70:08:94:00:2A:8B,MAX-PRINTER,54.04873276,-2.79996157,70:08:94,13,unknown,2026-06-04T15:00:00.000Z,2026-06-12T11:00:00.000Z,Lancaster,England,GB,Penny Street,LA1 1UA
70:08:94:00:2B:40,MAX-PRINTER,52.53247833,-1.77996421,70:08:94,36,unknown,2026-02-28T12:00:00.000Z,2026-08-08T05:00:00.000Z,Birmingham,England,GB,Walmley Ash Road,B76 1XL
70:08:94:00:2B:4A,MAX-PRINTER,50.94156265,-2.63604259,70:08:94,13,unknown,2026-04-25T09:00:00.000Z,2026-04-25T06:00:00.000Z,South Somerset,England,GB,Queensway Place,BA20 1DL
70:08:94:00:2B:82,MAX-PRINTER,51.65454483,-3.02371836,70:08:94,13,unknown,2026-03-28T10:00:00.000Z,2026-03-28T10:00:00.000Z,,Cymru / Wales,GB,Caradoc Road,NP44 1UL
70:08:94:00:2B:C8,MAX-PRINTER,53.75403976,-0.31305593,70:08:94,13,none,2026-06-30T15:00:00.000Z,2026-09-04T09:00:00.000Z,Hull,England,GB,Holderness Road,HU9 2EU
70:08:94:00:2D:7C,700894002D7C,33.00085068,-96.95783997,70:08:94,11,unknown,2026-02-03T19:00:00.000Z,2026-02-06T13:00:00.000Z,Carrollton,TX,US,Sam Rayburn Tollway,75024:75057
70:08:94:00:2D:E1,MAX-PRINTER,57.48389435,-4.17626476,70:08:94,13,unknown,2026-05-19T19:00:00.000Z,2026-05-19T21:00:00.000Z,Inverness,Alba / Scotland,GB,,IV2 7GD
70:08:94:00:2E:1A,MAX-PRINTER,52.66550064,-1.16597641,70:08:94,13,unknown,2026-04-14T15:00:00.000Z,2026-06-02T03:00:00.000Z,Leicester,England,GB,Bradgate Mall,LE4 1DE
70:08:94:00:2E:91,,32.55648422,-95.86297607,70:08:94,1,none,2026-08-23T17:00:00.000Z,2026-08-23T16:00:00.000Z,,TX,US,East Dallas Street,75103
70:08:94:00:2F:4A,Print Stadtbibliothek Baden,47.47084808,8.30421257,70:08:94,13,unknown,2026-05-06T09:00:00.000Z,2026-05-07T03:00:00.000Z,Baden,Aargau,CH,Mellingerstrasse,5400
70:08:94:00:30:7F,70089400307F,42.35857391,-71.05228424,70:08:94,11,unknown,2025-10-17T14:00:00.000Z,2025-10-24T20:00:00.000Z,Boston,MA,US,Milk Street,02109
70:08:94:00:30:CD,MAX-PRINTER,53.51266479,-2.33920193,70:08:94,36,unknown,2026-07-24T08:00:00.000Z,2026-07-26T04:00:00.000Z,Salford,England,GB,Chadwick Street,M27 4BH
70:08:94:00:31:76,LTSHunger,51.0516777,13.80482864,70:08:94,13,wpa2,2025-11-08T16:00:00.000Z,2026-07-03T12:00:00.000Z,Dresden,Sachsen,DE,Loschwitzer Straße,01309
70:08:94:00:31:80,MAX-PRINTER,53.05619049,-2.20765138,70:08:94,13,unknown,2026-05-21T11:00:00.000Z,2026-05-21T05:00:00.000Z,Stoke-on-Trent,England,GB,Woodland Street,ST6 6AT
70:08:94:00:31:AC,MAX-PRINTER,53.78678513,-0.32092464,70:08:94,13,unknown,2026-08-29T12:00:00.000Z,2026-08-29T10:00:00.000Z,Hull,England,GB,Goodhart Road,HU7 4EE
70:08:94:00:31:EC,MAX-PRINTER,54.96308136,-1.60180712,70:08:94,13,unknown,2026-05-24T10:00:00.000Z,2026-07-22T09:00:00.000Z,Gateshead,England,GB,Trinity Square,NE8 1AG
70:08:94:00:31:FA,MAX-PRINTER,53.54580307,-2.14012361,70:08:94,13,none,2026-05-21T14:00:00.000Z,2026-06-14T06:00:00.000Z,,England,GB,Milne Street,OL9 0JE
70:08:94:00:32:05,MAX-PRINTER,53.41277695,-2.15509844,70:08:94,13,unknown,2001-01-01T00:00:00.000Z,2026-08-29T05:00:00.000Z,Stockport,England,GB,Corporation Street,SK1 1UA
70:08:94:00:32:2A,MAX-PRINTER,50.96718216,-1.39009547,70:08:94,13,unknown,2026-03-22T10:00:00.000Z,2026-05-26T09:00:00.000Z,,England,GB,Bournemouth Road,SO53 3YJ
70:08:94:00:32:99,MAX-PRINTER,51.40193176,-0.23979937,70:08:94,13,none,2026-03-08T13:00:00.000Z,2026-08-30T16:00:00.000Z,London,England,GB,Beverley Way,KT3 4PJ
