netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
74:4C:A1:01:7F:DB,,36.046,-115.11,74:4C:A1,10,unknown,2025-08-30T10:00:00.000Z,2026-04-18T14:00:00.000Z,,NV,US,Bluegrass Lane,89074
74:4C:A1:01:9A:4B,,29.466,-98.556,74:4C:A1,1,unknown,2025-12-14T03:00:00.000Z,2025-12-16T17:00:00.000Z,San Antonio,TX,US,East Cheryl Drive,78228
74:4C:A1:03:75:EA,,39.359,-76.496,74:4C:A1,6,unknown,2026-05-15T20:00:00.000Z,2026-07-05T21:00:00.000Z,,MD,US,Rossville Boulevard,21237
74:4C:A1:03:81:48,,30.458,-97.394,74:4C:A1,0,unknown,2026-03-06T08:00:00.000Z,2026-03-06T18:00:00.000Z,Coupland,TX,US,TX 95,76574-4649
74:4C:A1:03:82:A9,Flock,39.905,-75.314,74:4C:A1,1,wpa2,2026-05-28T23:00:00.000Z,2026-05-28T17:00:00.000Z,Ridley Township,PA,US,Armstrong Avenue,19043
74:4C:A1:04:1E:6D,Flock,37.511,-121.956,74:4C:A1,1,wpa2,2026-06-15T20:00:00.000Z,2026-06-17T17:00:00.000Z,Fremont,CA,US,Auto Mall Parkway,94538
74:4C:A1:04:2D:F8,,33.729,-118.312,74:4C:A1,1,wpa2,2026-06-27T20:00:00.000Z,2026-06-27T13:00:00.000Z,Los Angeles,CA,US,South Western Avenue,90732-4418
74:4C:A1:04:DF:57,,45.318,-122.749,74:4C:A1,6,wpa2,2026-07-12T02:00:00.000Z,2026-07-11T20:00:00.000Z,,OR,US,Southwest Boeckman Road,97070
74:4C:A1:04:E0:3E,,40.814,-73.226,74:4C:A1,4,unknown,2025-02-22T19:00:00.000Z,2025-02-22T12:00:00.000Z,,NY,US,Whitespruce Lane,11788
74:4C:A1:06:39:F0,S2060w-62654254,40.867,-73.424,74:4C:A1,6,none,2024-10-20T18:00:00.000Z,2026-07-08T19:00:00.000Z,,NY,US,Dewey Street,11743
74:4C:A1:06:3B:D8,S2060w-62655050,53.337,15.041,74:4C:A1,6,unknown,2024-12-12T08:00:00.000Z,2024-12-12T00:00:00.000Z,,województwo zachodniopomorskie,PL,Warowna,73-100
74:4C:A1:06:45:0B,S2060w-62654258,47.938,23.878,74:4C:A1,6,unknown,2006-01-07T12:00:00.000Z,2025-08-23T09:00:00.000Z,Sighetu Marmației,Maramureș,RO,Strada Crișan,435500
74:4C:A1:06:BB:6A,S2060w-62654335,50.065,19.953,74:4C:A1,6,unknown,2026-02-11T16:00:00.000Z,2026-06-25T04:00:00.000Z,,województwo małopolskie,PL,Lubicz,31-512
74:4C:A1:06:F7:D6,,35.573,139.721,74:4C:A1,10,unknown,2024-12-19T05:00:00.000Z,2024-12-18T21:00:00.000Z,大田区,大森西四丁目,JP,,143-0024
74:4C:A1:07:40:4F,Flock,41.857,12.562,74:4C:A1,1,wpa2,2026-06-06T18:00:00.000Z,2026-06-12T00:00:00.000Z,Roma,Lazio,IT,Via Tuscolana,00175
74:4C:A1:08:5D:E9,,40.644,-73.928,74:4C:A1,4,unknown,2025-09-30T07:00:00.000Z,2025-09-30T02:00:00.000Z,City of New York,NY,US,East 52nd Street,11203
