netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
82:6B:F2:08:1F:08,Redmi 13C,52.40771103,4.85794783,82:6B:F2,11,wpa2,2026-01-07T14:00:00.000Z,2026-02-21T11:00:00.000Z,Amsterdam,Noord-Holland,NL,Ringweg-West,1013BS
82:6B:F2:25:58:00,郭,31.25595284,121.27791595,82:6B:F2,1,wpa2,2025-07-17T05:00:00.000Z,2025-07-16T23:00:00.000Z,嘉定区,嘉定区,CN,沪宁高速,201803
82:6B:F2:27:E5:13,Audi_MMI_0560,51.74941635,-3.39179802,82:6B:F2,6,wpa3,2026-05-16T08:00:00.000Z,2026-05-16T02:00:00.000Z,,Cymru / Wales,GB,Swansea Road,CF48 1HY
82:6B:F2:29:27:02,Galaxy S24 5305,40.15146255,-7.49759102,82:6B:F2,10,wpa2,2025-07-31T18:00:00.000Z,2025-07-31T12:00:00.000Z,Fundão,Castelo Branco,PT,Rua Belarmino Barata,6230-279
82:6B:F2:29:DB:5C,STARLINK,35.3384552,-111.55483246,82:6B:F2,1,wpa2,2025-04-23T18:00:00.000Z,2026-01-13T21:00:00.000Z,,AZ,US,US 89,
82:6B:F2:2E:DE:4C,Galaxy S20 FE 5G 6AD6,29.62687874,-82.38832092,82:6B:F2,1,wpa2,2026-04-28T17:00:00.000Z,2026-04-28T13:00:00.000Z,Gainesville,FL,US,Southwest 42nd Street,32608
82:6B:F2:39:DB:5C,STARLINK,35.33939743,-111.55605316,82:6B:F2,40,wpa2,2025-04-23T21:00:00.000Z,2025-08-05T16:00:00.000Z,,AZ,US,US 89,
82:6B:F2:3C:41:A7,,40.5497818,-74.43031311,82:6B:F2,6,unknown,2026-09-03T20:00:00.000Z,2026-09-03T14:00:00.000Z,,NJ,US,Hadley Center Drive,07080
82:6B:F2:49:DB:5C,,35.33898163,-111.55544281,82:6B:F2,1,wpa2,2025-05-26T16:00:00.000Z,2025-08-05T16:00:00.000Z,,AZ,US,US 89,
82:6B:F2:52:57:29,,30.30574036,-97.74506378,82:6B:F2,0,unknown,2026-05-14T06:00:00.000Z,2026-05-14T17:00:00.000Z,Austin,TX,US,West 38th Street,78705
82:6B:F2:59:DB:5C,,35.33940125,-111.55606079,82:6B:F2,40,wpa2,2025-04-23T21:00:00.000Z,2025-08-05T16:00:00.000Z,,AZ,US,US 89,
82:6B:F2:65:1E:42,宗輝's Galaxy A52s 5G,24.9896698,121.44694519,82:6B:F2,11,wpa2,2022-09-04T17:00:00.000Z,2025-06-13T09:00:00.000Z,新北市,新北市,TW,中華路一段,236
82:6B:F2:69:DB:5C,,35.33792114,-111.55419159,82:6B:F2,1,wpa2,2025-05-26T16:00:00.000Z,2026-01-13T21:00:00.000Z,,AZ,US,US 89,
82:6B:F2:70:49:FE,CHEVROLET9505,34.83016586,-120.36457825,82:6B:F2,6,wpa3,2001-01-01T00:00:00.000Z,2026-07-20T03:00:00.000Z,,CA,US,US 101,
82:6B:F2:85:A0:B1,,30.18275261,-96.93321991,82:6B:F2,0,unknown,2019-02-14T10:00:00.000Z,2025-08-13T18:00:00.000Z,,TX,US,East Austin Street,78942
82:6B:F2:89:DB:5C,,35.33713531,-111.55326843,82:6B:F2,1,wpa2,2026-01-14T01:00:00.000Z,2026-03-27T14:00:00.000Z,,AZ,US,US 89,
82:6B:F2:92:CC:56,CHEVROLET7588,24.89710999,46.69985199,82:6B:F2,6,wpa3,2026-02-26T09:00:00.000Z,2026-02-26T07:00:00.000Z,,منطقة الرياض,SA,طريق الملك سلمان,13328
82:6B:F2:B8:B2:08,,41.34516144,21.55420494,82:6B:F2,149,wpa3,2024-09-25T10:00:00.000Z,2024-09-25T06:00:00.000Z,Прилеп,Пелагониски СР,MK,Борка Талески-Модерното,7500
82:6B:F2:E0:26:54,Hoto spoto,49.5696373,17.21377563,82:6B:F2,11,wpa2,2025-10-25T14:00:00.000Z,2025-10-25T07:00:00.000Z,Olomouc,Střední Morava,CZ,D46,783 01
82:6B:F2:EB:EC:19,,43.46203995,-72.97933197,82:6B:F2,149,unknown,2026-08-18T01:00:00.000Z,2026-08-18T08:00:00.000Z,,VT,US,US 7,05773
82:6B:F2:F1:A7:79,Sumbangan data untuk rakyat,-7.10399008,110.27425385,82:6B:F2,6,wpa2,2026-06-18T12:00:00.000Z,2026-06-18T19:00:00.000Z,,Jawa Tengah,ID,,
82:6B:F2:FF:3E:28,Redmi 12,-23.53381729,-46.56625366,82:6B:F2,12,wpa2,2025-07-13T08:00:00.000Z,2025-07-25T15:00:00.000Z,São Paulo,São Paulo,BR,Avenida Celso Garcia,03064-000
