netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
A4:CF:12:00:15:49,CFX3_001548,61.44909286,11.04011345,A4:CF:12,1,wpa2,2026-02-14T12:00:00.000Z,2026-04-12T20:00:00.000Z,,Innlandet,NO,Storelvdalsveien,
A4:CF:12:00:24:C5,Mysa-0024c4,49.45261002,-123.7312088,A4:CF:12,1,unknown,2025-08-25T00:00:00.000Z,2025-08-24T19:00:00.000Z,,British Columbia,CA,Sunshine Coast Highway,V0N 3A0
A4:CF:12:00:29:0D,TL,-32.54924774,115.6860199,A4:CF:12,1,wpa2,2026-07-19T00:00:00.000Z,2026-07-18T22:00:00.000Z,,Western Australia,AU,Discovery Cove,6201
A4:CF:12:00:64:35,CFX3_006434,47.83890915,13.05604553,A4:CF:12,1,wpa2,2024-10-10T08:00:00.000Z,2026-07-30T01:00:00.000Z,,Salzburg,AT,Moosfeldstraße,5101
A4:CF:12:00:69:29,Mysa-006928,45.5203743,-73.58628082,A4:CF:12,6,unknown,2024-11-19T17:00:00.000Z,2024-11-19T11:00:00.000Z,Montréal,Québec,CA,Avenue du Mont-Royal Est,H2T 1N4
A4:CF:12:00:6B:99,Cfx3_luke,-31.08479691,150.91513062,A4:CF:12,1,wpa2,2025-07-31T07:00:00.000Z,2026-04-13T12:00:00.000Z,Tamworth,New South Wales,AU,Ebsworth Street,2340
A4:CF:12:00:6C:A9,CFX3_dometic ,59.75768661,18.69386482,A4:CF:12,1,wpa2,2026-07-18T09:00:00.000Z,2026-07-18T02:00:00.000Z,,Stockholms län,SE,Sveagatan,76128
A4:CF:12:00:6F:01,T009_006F00,48.16565704,-0.48646441,A4:CF:12,1,unknown,2026-03-01T12:00:00.000Z,2026-03-01T04:00:00.000Z,,Pays de la Loire,FR,D 262,53150
A4:CF:12:00:72:71,CFX3_007270,50.11335373,14.47628975,A4:CF:12,1,wpa2,2021-02-23T14:00:00.000Z,2025-06-22T07:00:00.000Z,Hlavní město Praha,Praha,CZ,Zenklova,18000
A4:CF:12:00:73:25,CFX3_007324,39.56996155,2.69095898,A4:CF:12,1,wpa2,2026-08-13T09:00:00.000Z,2026-08-18T14:00:00.000Z,,Illes Balears,ES,Ma-15,07007
A4:CF:12:00:74:19,T009_007418,48.01318359,0.31945547,A4:CF:12,6,unknown,2025-04-17T13:00:00.000Z,2025-04-17T07:00:00.000Z,Champagné,Pays de la Loire,FR,Route de Paris,72470
A4:CF:12:00:75:81,CFX3_007580,50.8047142,7.2230649,A4:CF:12,1,wpa2,2026-08-21T13:00:00.000Z,2026-08-21T07:00:00.000Z,,Nordrhein-Westfalen,DE,Zeithstraße,53721
A4:CF:12:03:2A:E5,,-8.02296162,-34.96263885,A4:CF:12,13,none,2026-03-06T14:00:00.000Z,2026-07-02T21:00:00.000Z,Recife,Pernambuco,BR,Corredor Exclusivo BRT Leste - Oeste,50980-427
A4:CF:12:03:C2:85,WLED-AP,37.75870132,-122.38812256,A4:CF:12,1,wpa2,2024-10-20T03:00:00.000Z,2024-10-20T13:00:00.000Z,San Francisco,CA,US,3rd Street,41907
A4:CF:12:04:1E:D9,,-26.82743835,-49.29610062,A4:CF:12,13,unknown,2025-12-24T14:00:00.000Z,2025-12-24T06:00:00.000Z,Timbó,Santa Catarina,BR,Rua Marechal Floriano Peixoto,89120-000
A4:CF:12:04:C2:39,Marina,37.27761841,49.68039703,A4:CF:12,1,wpa2,2024-09-24T12:00:00.000Z,2024-10-08T06:00:00.000Z,دهستان حومه,استان گیلان,IR,بلوار امام رضا,4187968587
A4:CF:12:05:47:A9,Poort,52.15140915,5.1246562,A4:CF:12,1,unknown,2021-01-23T14:00:00.000Z,2025-02-07T06:00:00.000Z,,Utrecht,NL,Kerkdijk,3615BA
A4:CF:12:05:DD:D9,car_hotspot,-32.90896988,151.67488098,A4:CF:12,1,wpa2,2024-10-16T02:00:00.000Z,2025-10-01T12:00:00.000Z,Newcastle,New South Wales,AU,Murnin Street,2287
A4:CF:12:07:F4:89,Traeger-F489,38.91588974,-77.50614166,A4:CF:12,6,wpa2,2026-06-23T18:00:00.000Z,2026-06-23T14:00:00.000Z,,VA,US,Planting Field Drive,20152
A4:CF:12:07:F5:D5,Traeger-F5D5,40.82963562,-121.51331329,A4:CF:12,5,wpa2,2026-08-18T00:00:00.000Z,2026-08-17T22:00:00.000Z,,CA,US,CA 89,96040
A4:CF:12:07:F5:ED,Traeger-F5ED,36.31845474,-115.21566772,A4:CF:12,5,wpa2,2024-05-23T19:00:00.000Z,2026-07-03T14:00:00.000Z,Las Vegas,NV,US,Knotting Pass,89131
A4:CF:12:07:F6:79,Traeger-F679,45.27761459,-93.59269714,A4:CF:12,5,wpa2,2025-10-09T08:00:00.000Z,2026-04-20T00:00:00.000Z,,MN,US,88th Street Northeast,55330
