netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
B8:1E:A4:00:49:8D,DIRECT-f9B81EA400498D,31.90204811,-106.40686035,B8:1E:A4,6,wpa2,2025-01-23T03:00:00.000Z,2026-05-23T16:00:00.000Z,El Paso,TX,US,Dyer Street,79924
B8:1E:A4:00:49:9F,B81EA400499F,33.15259933,-96.86225891,B8:1E:A4,11,unknown,2024-09-07T16:00:00.000Z,2026-04-19T19:00:00.000Z,Frisco,TX,US,Main Street,75034
B8:1E:A4:00:4A:8F,B81EA4004A8F,28.59307098,-81.36846161,B8:1E:A4,13,unknown,2025-10-10T14:00:00.000Z,2025-10-10T10:00:00.000Z,,FL,US,Fairbanks Avenue,32789
B8:1E:A4:00:54:3D,yaw,35.67048264,139.76979065,B8:1E:A4,13,wpa,2026-06-01T05:00:00.000Z,2026-06-03T03:00:00.000Z,千代田区,有楽町一丁目,JP,丸の内仲通り,104-0061
B8:1E:A4:00:55:16,B81EA4005516,35.60801315,139.6676178,B8:1E:A4,13,unknown,2026-06-01T23:00:00.000Z,2026-06-01T17:00:00.000Z,目黒区,自由が丘二丁目,JP,メープル通り,152-0035
B8:1E:A4:00:57:82,B81EA4005782,39.71132278,-104.91164398,B8:1E:A4,11,none,2025-06-25T20:00:00.000Z,2026-07-24T14:00:00.000Z,Denver,CO,US,East Alameda Avenue,80246-2732
B8:1E:A4:00:57:E2,B81EA40057E2,42.2217865,-83.19400024,B8:1E:A4,11,none,2025-11-01T18:00:00.000Z,2026-08-23T21:00:00.000Z,,MI,US,Dix Highway,48146
B8:1E:A4:00:58:35,B81EA4005835,35.64671326,139.74432373,B8:1E:A4,13,unknown,2025-12-31T14:00:00.000Z,2026-01-26T03:00:00.000Z,港区,三田三丁目,JP,東京都道301号白山祝田田町線,108-0014
B8:1E:A4:00:5B:11,B81EA4005B11,40.00596237,-105.270401,B8:1E:A4,11,none,2026-07-26T04:00:00.000Z,2026-07-25T23:00:00.000Z,Boulder,CO,US,Broadway,80802
B8:1E:A4:00:5C:03,bizhubC300i,43.18716049,141.01080322,B8:1E:A4,13,wpa,2024-08-30T01:00:00.000Z,2024-08-29T19:00:00.000Z,小樽市,後志総合振興局,JP,,047-0028
B8:1E:A4:00:5C:CC,B81EA4005CCC,40.64665604,-74.36169434,B8:1E:A4,13,none,2025-07-09T15:00:00.000Z,2026-07-13T06:00:00.000Z,,NJ,US,South Avenue West,07090
B8:1E:A4:00:5F:08,B81EA4005F08,39.74633408,-105.00183105,B8:1E:A4,13,unknown,2024-11-16T01:00:00.000Z,2024-11-15T18:00:00.000Z,Denver,CO,US,Lawrence Street,80204
B8:1E:A4:00:5F:9C,DIRECT-CAB81EA4005F9C,38.88167953,-76.99497223,B8:1E:A4,11,wpa2,2024-09-01T23:00:00.000Z,2024-10-05T21:00:00.000Z,Washington,DC,US,8th Street Southeast,20003
B8:1E:A4:00:65:FE,,45.54195404,-122.63070679,B8:1E:A4,1,wpa2,2026-08-16T03:00:00.000Z,2026-08-20T20:00:00.000Z,Portland,OR,US,Northeast 33rd Avenue,97212
B8:1E:A4:01:C6:9A,TISKARNA C251,50.07268524,14.49129677,B8:1E:A4,13,unknown,2026-04-25T08:00:00.000Z,2026-04-25T02:00:00.000Z,Hlavní město Praha,Praha,CZ,Strašnická,10000
B8:1E:A4:01:CE:88,B81EA401CE88,35.56059647,139.65275574,B8:1E:A4,13,unknown,2026-01-28T12:00:00.000Z,2026-07-25T18:00:00.000Z,川崎市,神奈川県,JP,尻手黒川道路,211-0025
B8:1E:A4:01:CE:9A,B81EA401CE9A,35.70666122,139.74685669,B8:1E:A4,13,unknown,2026-08-25T13:00:00.000Z,2026-08-27T06:00:00.000Z,文京区,後楽二丁目,JP,牛込小石川線,112-0003
B8:1E:A4:01:CE:F0,B81EA401CEF0,35.69861984,139.78474426,B8:1E:A4,13,none,2025-09-22T10:00:00.000Z,2025-12-03T03:00:00.000Z,台東区,浅草橋一丁目,JP,,111-0053
B8:1E:A4:01:CE:F4,c360i,35.04079056,135.75048828,B8:1E:A4,13,unknown,2025-03-14T11:00:00.000Z,2025-12-02T21:00:00.000Z,京都市,京都府,JP,,603-8175
B8:1E:A4:01:CF:51,B81EA401CF51,35.70444489,139.76361084,B8:1E:A4,13,unknown,2025-09-13T04:00:00.000Z,2025-09-12T22:00:00.000Z,文京区,本郷三丁目,JP,,113-8431
B8:1E:A4:03:92:BB,,38.20623398,-85.6848526,B8:1E:A4,0,wpa2,2026-01-23T18:00:00.000Z,2026-01-24T13:00:00.000Z,Louisville,KY,US,Gardiner Lane,40205
B8:1E:A4:03:94:A5,,33.79935074,-118.34915161,B8:1E:A4,1,wpa2,2026-06-19T15:00:00.000Z,2026-08-20T02:00:00.000Z,Torrance,CA,US,Newton Street,90505
B8:1E:A4:03:95:D9,,47.52399826,-92.23823547,B8:1E:A4,0,unknown,2024-10-04T21:00:00.000Z,2024-10-08T21:00:00.000Z,,MN,US,Main Street,55705
B8:1E:A4:03:9F:F4,,48.19598007,-122.20941162,B8:1E:A4,1,wpa2,2026-06-30T11:00:00.000Z,2026-07-20T06:00:00.000Z,,WA,US,I 5,09223
B8:1E:A4:03:AA:81,,45.3114357,-122.77209473,B8:1E:A4,11,wpa2,2026-08-22T18:00:00.000Z,2026-08-22T17:00:00.000Z,,OR,US,Southwest Boberg Road,97070
B8:1E:A4:03:D5:9E,B81EA403D59E,39.73939896,-104.99514771,B8:1E:A4,13,unknown,2026-06-10T13:00:00.000Z,2026-06-10T07:00:00.000Z,Denver,CO,US,West Colfax Avenue,80204
B8:1E:A4:03:D6:12,B81EA403D612,39.73846817,-104.99827576,B8:1E:A4,13,none,2026-05-26T05:00:00.000Z,2026-08-24T23:00:00.000Z,Denver,CO,US,West 14th Avenue,80217
B8:1E:A4:03:D6:27,B81EA403D627,39.74012375,-104.99084473,B8:1E:A4,13,none,2024-10-15T04:00:00.000Z,2026-07-28T23:00:00.000Z,Denver,CO,US,West Colfax Avenue,80202
B8:1E:A4:03:D6:2C,B81EA403D62C,39.73873138,-104.99806213,B8:1E:A4,13,none,2025-04-22T05:00:00.000Z,2026-07-23T08:00:00.000Z,Denver,CO,US,North Speer Boulevard West,80217
B8:1E:A4:03:D6:37,B81EA403D637,33.56019592,-84.45999146,B8:1E:A4,11,none,2026-08-18T11:00:00.000Z,2026-08-18T05:00:00.000Z,,GA,US,Bethsaida Road,30296
B8:1E:A4:03:D6:9B,B81EA403D69B,39.73843384,-104.99062347,B8:1E:A4,13,none,2024-07-14T20:00:00.000Z,2026-08-24T23:00:00.000Z,Denver,CO,US,West 14th Avenue,80204
B8:1E:A4:03:D6:C2,DIRECT-2jB81EA403D6C2,28.06851768,-81.9080658,B8:1E:A4,6,wpa2,2024-12-25T17:00:00.000Z,2024-12-29T13:00:00.000Z,,FL,US,North Combee Road,33805
B8:1E:A4:03:D7:16,B81EA403D716,39.73939896,-104.99514771,B8:1E:A4,13,unknown,2026-06-10T13:00:00.000Z,2026-06-10T07:00:00.000Z,Denver,CO,US,West Colfax Avenue,80204
B8:1E:A4:03:D7:1A,B81EA403D71A,39.74003983,-104.99104309,B8:1E:A4,13,none,2026-01-18T20:00:00.000Z,2026-06-13T16:00:00.000Z,Denver,CO,US,West Colfax Avenue,80274
B8:1E:A4:03:D7:FF,B81EA403D7FF,39.73883438,-104.99195099,B8:1E:A4,13,unknown,2026-02-09T20:00:00.000Z,2026-02-09T14:00:00.000Z,Denver,CO,US,West Colfax Avenue,80204
B8:1E:A4:03:D8:04,B81EA403D804,39.73926926,-104.99017334,B8:1E:A4,13,unknown,2026-02-10T15:00:00.000Z,2026-02-11T09:00:00.000Z,Denver,CO,US,Bannock Street Project,
B8:1E:A4:03:D8:08,B81EA403D808,39.7400856,-104.99126434,B8:1E:A4,13,none,2025-04-22T05:00:00.000Z,2026-06-13T16:00:00.000Z,Denver,CO,US,West Colfax Avenue,80274
B8:1E:A4:03:D8:09,B81EA403D809,39.73855972,-104.99180603,B8:1E:A4,13,unknown,2026-02-09T20:00:00.000Z,2026-02-09T14:00:00.000Z,Denver,CO,US,West 14th Avenue,80274
B8:1E:A4:03:D8:0E,B81EA403D80E,39.74018478,-104.98970032,B8:1E:A4,13,none,2024-06-06T04:00:00.000Z,2026-06-28T13:00:00.000Z,Denver,CO,US,West Colfax Avenue,80202
