netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
C0:35:32:00:93:27,,53.72062302,91.45209503,C0:35:32,5,unknown,2026-04-15T11:00:00.000Z,2026-04-15T07:00:00.000Z,городской округ Абакан,Республика Хакасия,RU,Хакасская улица,655019
C0:35:32:00:E3:E9,,53.72071075,91.45285797,C0:35:32,6,unknown,2026-04-15T11:00:00.000Z,2026-04-15T07:00:00.000Z,Абакан,Республика Хакасия,RU,Хакасская улица,655019
C0:35:32:01:63:E7,,47.25465012,8.24135017,C0:35:32,1,unknown,2025-10-23T07:00:00.000Z,2025-10-24T06:00:00.000Z,Aesch (LU),Luzern,CH,Mosenstrasse,6287
C0:35:32:04:E1:11,,40.53641891,-74.37528992,C0:35:32,7,unknown,2026-06-15T13:00:00.000Z,2026-06-15T06:00:00.000Z,,NJ,US,Bridge Street,08840
C0:35:32:05:43:3B,nuc-00532,52.47501373,-1.89771926,C0:35:32,1,wpa2,2025-10-13T21:00:00.000Z,2026-02-06T08:00:00.000Z,Birmingham,England,GB,Hurst Street,B5 4BN
C0:35:32:06:25:8F,,39.95651245,-86.05625153,C0:35:32,157,unknown,2024-09-17T03:00:00.000Z,2025-07-16T18:00:00.000Z,,IN,US,East 116th Street,46038
C0:35:32:06:4C:4B,,30.84760666,-83.95375824,C0:35:32,157,unknown,2024-10-26T13:00:00.000Z,2024-10-26T10:00:00.000Z,,GA,US,,31757
C0:35:32:06:89:63,,36.16638565,-115.27811432,C0:35:32,0,unknown,2025-05-29T18:00:00.000Z,2025-06-01T14:00:00.000Z,Las Vegas,NV,US,Alta Drive,89147
C0:35:32:06:9D:0B,,36.06504822,-79.43933105,C0:35:32,6,wpa2,2026-06-02T13:00:00.000Z,2026-06-02T07:00:00.000Z,Burlington,NC,US,I 40;I 85,27215
C0:35:32:07:2A:FD,,40.67798996,-73.62538147,C0:35:32,4,unknown,2025-07-26T17:00:00.000Z,2025-07-26T13:00:00.000Z,,NY,US,North Long Beach Road,11570
C0:35:32:09:3B:1B,tamas-IdeaPad,45.25514603,14.5760088,C0:35:32,1,wpa3,2024-10-26T20:00:00.000Z,2025-09-07T02:00:00.000Z,,Primorsko-goranska županija,HR,Oštro - Uvala Scott šetnica,51262
C0:35:32:0A:65:0D,,40.8099556,-73.07681274,C0:35:32,2,unknown,2025-08-07T21:00:00.000Z,2025-09-18T16:00:00.000Z,,NY,US,Main Street,11741
C0:35:32:0B:17:59,,29.76159477,-95.41605377,C0:35:32,6,unknown,2025-04-18T12:00:00.000Z,2025-05-09T14:00:00.000Z,Houston,TX,US,Memorial Drive,77024
C0:35:32:0B:7A:A9,,36.03673935,-80.38847351,C0:35:32,1,wpa2,2026-06-02T19:00:00.000Z,2026-06-02T13:00:00.000Z,,NC,US,Jessie Lane,27012
C0:35:32:0B:7A:B9,,36.03675842,-80.38850403,C0:35:32,1,wpa2,2026-06-02T19:00:00.000Z,2026-06-02T13:00:00.000Z,,NC,US,Jessie Lane,27012
C0:35:32:0E:4F:8E,,30.1039238,-97.29308319,C0:35:32,0,unknown,2026-01-15T07:00:00.000Z,2026-01-15T14:00:00.000Z,,TX,US,State Highway 71 East,78602
