netid,ssid,trilat,trilong,oui_match,channel,encryption,firsttime,lasttime,city,region,country,road,postalcode
EC:1B:BD:2C:6A:E3,TVHub-200501140,-32.71974182,152.14501953,EC:1B:BD,1,unknown,2025-09-14T01:00:00.000Z,2025-09-13T23:00:00.000Z,,New South Wales,AU,Teramby Road,2315
EC:1B:BD:2C:6A:FA,TVHub-200400962,38.89366531,-77.03193665,EC:1B:BD,1,unknown,2026-01-23T20:00:00.000Z,2026-01-23T13:00:00.000Z,Washington,DC,US,14th Street Northwest,20230
EC:1B:BD:2C:6B:0F,TVHub-200900711,43.0303421,-78.88059235,EC:1B:BD,1,none,2026-06-24T22:00:00.000Z,2026-06-27T00:00:00.000Z,,NY,US,River Road,14120
EC:1B:BD:2C:6B:4F,TVHub-0FER78029,1.24754798,103.8418045,EC:1B:BD,1,unknown,2024-10-29T08:00:00.000Z,2024-10-29T03:00:00.000Z,Singapore,Southwest,SG,Ocean Way,098375
EC:1B:BD:2C:6B:59,TVHub-200400380,30.38560486,-97.69976807,EC:1B:BD,1,none,2023-09-19T19:00:00.000Z,2025-04-26T09:00:00.000Z,Austin,TX,US,Boffi Circle,78758
EC:1B:BD:2C:6B:79,TVHub-200800934,34.86502838,-92.35823059,EC:1B:BD,1,unknown,2023-09-17T00:00:00.000Z,2026-05-12T10:00:00.000Z,,AR,US,I 40;US 65,72113
EC:1B:BD:2C:6E:CD,TVHub-200600154,44.76539993,-85.62164307,EC:1B:BD,1,unknown,2024-09-03T20:00:00.000Z,2024-09-03T14:00:00.000Z,Traverse City,MI,US,East Grandview Parkway,49684
EC:1B:BD:2C:6E:D3,TVHub-200600412,27.76007462,-80.41752625,EC:1B:BD,1,unknown,2024-11-24T20:00:00.000Z,2024-11-24T12:00:00.000Z,,FL,US,FL 510,32970
EC:1B:BD:2C:70:28,TVHub-201000346,-36.84429932,174.75904846,EC:1B:BD,1,unknown,2026-01-18T17:00:00.000Z,2026-01-19T00:00:00.000Z,Auckland,Auckland,NZ,,1001
EC:1B:BD:2C:70:44,TVHub-200600405,39.06955338,-119.779953,EC:1B:BD,1,unknown,2026-07-06T05:00:00.000Z,2026-07-26T15:00:00.000Z,,NV,US,US 395,89705
EC:1B:BD:2C:70:49,TVHub-200800414,41.23515701,-75.657547,EC:1B:BD,1,wpa2,2022-09-10T13:00:00.000Z,2026-02-20T22:00:00.000Z,,PA,US,White Line Trail,
EC:1B:BD:2C:70:4E,TVHub-200600164,33.34638977,-118.32737732,EC:1B:BD,1,unknown,2026-07-28T20:00:00.000Z,2026-07-28T17:00:00.000Z,Avalon,CA,US,Casino Way,90704
EC:1B:BD:2C:70:5A,TVHub-201000734,30.27919197,-87.67565918,EC:1B:BD,1,unknown,2025-03-04T15:00:00.000Z,2025-07-27T15:00:00.000Z,,AL,US,East Canal Drive,36542
EC:1B:BD:2C:70:7D,TVHub-200600411,41.15510178,-73.75222015,EC:1B:BD,1,none,2022-07-24T22:00:00.000Z,2026-07-06T16:00:00.000Z,,NY,US,East Place,10514
EC:1B:BD:2C:70:81,TVHub-200400471,52.13058853,5.04486704,EC:1B:BD,1,unknown,2026-07-31T10:00:00.000Z,2026-07-31T05:00:00.000Z,,Utrecht,NL,Westkanaaldijk,3606AL
EC:1B:BD:2C:70:B0,TVHub-200900607,37.59713364,-0.98284727,EC:1B:BD,1,unknown,2026-05-30T08:00:00.000Z,2026-06-03T06:00:00.000Z,Cartagena,Región de Murcia,ES,Paseo de Alfonso XII,30201
EC:1B:BD:2C:70:E4,TVHub-200400959,35.15174484,-90.02742004,EC:1B:BD,1,none,2020-09-22T09:00:00.000Z,2024-08-31T21:00:00.000Z,Memphis,TN,US,J. W. Williams Lane,38105
EC:1B:BD:2C:73:E1,IRIDIUM-44011,35.32217407,-116.53881073,EC:1B:BD,5,unknown,2021-03-18T13:00:00.000Z,2026-02-18T14:00:00.000Z,,CA,US,,
EC:1B:BD:2C:7E:07,20081999,56.45394135,10.04446697,EC:1B:BD,11,wpa2,2021-06-04T11:00:00.000Z,2025-10-16T02:00:00.000Z,Randers,Region Midtjylland,DK,Halkiersgade,8900
EC:1B:BD:2C:7E:10,20082000,55.70657349,12.54633522,EC:1B:BD,11,wpa2,2023-10-22T01:00:00.000Z,2025-11-29T07:00:00.000Z,København,Region Hovedstaden,DK,Rovsingsgade,2200
EC:1B:BD:2C:7F:EC,20081969,55.47543716,12.18388176,EC:1B:BD,11,wpa2,2021-03-23T22:00:00.000Z,2025-09-02T06:00:00.000Z,,Region Sjælland,DK,Københavnsvej,4600
EC:1B:BD:2C:82:F4,20081963,55.73323441,12.4614706,EC:1B:BD,11,wpa2,2020-09-02T06:00:00.000Z,2026-02-10T06:00:00.000Z,,Region Hovedstaden,DK,Transformervej,2860
EC:1B:BD:2C:82:F8,20081964,55.73327637,12.46143913,EC:1B:BD,11,wpa2,2021-02-26T10:00:00.000Z,2025-06-07T04:00:00.000Z,,Region Hovedstaden,DK,Transformervej,2860
EC:1B:BD:2C:82:FE,20081959,55.73334885,12.46140671,EC:1B:BD,11,wpa2,2021-02-26T10:00:00.000Z,2025-08-24T22:00:00.000Z,,Region Hovedstaden,DK,Transformervej,2860
EC:1B:BD:2C:82:FF,20081957,55.73347092,12.46094418,EC:1B:BD,11,wpa2,2020-09-02T05:00:00.000Z,2026-01-23T05:00:00.000Z,,Region Hovedstaden,DK,Dynamovej,2860
EC:1B:BD:2C:83:07,20081958,55.73335648,12.46137524,EC:1B:BD,11,wpa2,2021-02-26T10:00:00.000Z,2025-08-24T22:00:00.000Z,,Region Hovedstaden,DK,Transformervej,2860
EC:1B:BD:2C:83:0A,20081972,55.47399521,12.18280315,EC:1B:BD,11,wpa2,2025-06-14T12:00:00.000Z,2025-06-14T06:00:00.000Z,,Region Sjælland,DK,Københavnsvej,4600
EC:1B:BD:2C:83:0D,20081979,55.92824173,12.26232338,EC:1B:BD,11,wpa2,2020-09-26T09:00:00.000Z,2026-01-06T07:00:00.000Z,,Region Hovedstaden,DK,Egespurs Alle,3400
EC:1B:BD:2C:83:0E,20081960,55.73348999,12.46099854,EC:1B:BD,11,wpa2,2020-09-02T05:00:00.000Z,2026-07-14T20:00:00.000Z,,Region Hovedstaden,DK,Dynamovej,2860
EC:1B:BD:2C:83:10,20081966,55.47510529,12.18365002,EC:1B:BD,11,wpa2,2021-03-23T22:00:00.000Z,2025-09-02T06:00:00.000Z,,Region Sjælland,DK,Københavnsvej,4600
EC:1B:BD:2C:83:6D,20081980,56.02798843,12.56804276,EC:1B:BD,11,wpa2,2024-05-10T07:00:00.000Z,2025-05-02T09:00:00.000Z,,Region Hovedstaden,DK,Klostermosevej,3070
EC:1B:BD:2C:83:7B,20055140,56.21881485,15.26522064,EC:1B:BD,11,wpa2,2024-08-24T14:00:00.000Z,2024-08-24T10:00:00.000Z,,Blekinge län,SE,Västra Industrigatan,372 35
