oui,vendor_context,detection_protocol,source,notes,tier,vendor
70:c9:4e,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
3c:91:80,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
d8:f3:bc,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
80:30:49,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
b8:35:32,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,unknown (absent from IEEE registry snapshot)
14:5a:fc,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
74:4c:a1,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
08:3a:88,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,"Universal Global Scientific Industrial Co., Ltd."
9c:2f:9d,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
c0:35:32,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
94:08:53,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
e4:aa:ea,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
f4:6a:dd,Contract-manufacturer silicon (shared with unrelated products),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,mfr,Liteon Technology Corporation
f8:a2:d6,Contract-manufacturer silicon (shared with unrelated products),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,mfr,Liteon Technology Corporation
24:b2:b9,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
00:f4:8d,Contract-manufacturer silicon (shared with unrelated products),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,mfr,Liteon Technology Corporation
d0:39:57,Contract-manufacturer silicon (shared with unrelated products),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,mfr,Liteon Technology Corporation
e8:d0:fc,Contract-manufacturer silicon (shared with unrelated products),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,mfr,Liteon Technology Corporation
e0:4f:43,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,"Universal Global Scientific Industrial Co., Ltd."
b8:1e:a4,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
70:08:94,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
58:8e:81,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Silicon Laboratories
ec:1b:bd,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Silicon Laboratories
3c:71:bf,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Espressif Inc.
58:00:e3,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
90:35:ea,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Silicon Laboratories
5c:93:a2,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
64:6e:69,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Liteon Technology Corporation
48:27:ea,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,"Samsung Electronics Co.,Ltd"
a4:cf:12,Flock camera radio (field-observed),WiFi 2.4 GHz,@NitekryDPaul,promiscuous-mode research,high,Espressif Inc.
82:6b:f2,Flock camera radio (field-observed),WiFi 2.4 GHz (wildcard probe),Michael / DeFlockJoplin,field-test Joplin - 12th camera OUI,high,locally administered (no IEEE assignment)
b4:1e:52,Flock Safety (direct IEEE registration),WiFi 2.4 GHz,dougborg/PR#39,direct IEEE registration to Flock Safety,high,Flock Safety
04:0d:84,FS Ext Battery accessory series,WiFi 2.4 GHz,dougborg/PR#39,FS Ext Battery accessory series,high,Silicon Laboratories
f0:82:c0,FS Ext Battery accessory series,WiFi 2.4 GHz,dougborg/PR#39,FS Ext Battery accessory series,high,Silicon Laboratories
1c:34:f1,FS Ext Battery accessory series,WiFi 2.4 GHz,dougborg/PR#39,FS Ext Battery accessory series,high,Silicon Laboratories
38:5b:44,FS Ext Battery accessory series,WiFi 2.4 GHz,dougborg/PR#39,FS Ext Battery accessory series,high,Silicon Laboratories
94:34:69,FS Ext Battery accessory series,WiFi 2.4 GHz,dougborg/PR#39,FS Ext Battery accessory series,high,Silicon Laboratories
b4:e3:f9,FS Ext Battery accessory series,WiFi 2.4 GHz,dougborg/PR#39,FS Ext Battery accessory series,high,Silicon Laboratories
e0:0a:f6,Contract-manufacturer silicon (shared with unrelated products),WiFi 2.4 GHz,dougborg/PR#39,"added dougborg/PR#39 - USI per the upstream comment, Liteon per the IEEE registry; contract manufacturer either way",mfr,Liteon Technology Corporation
